question,answer
What features do I still have access to in new Pages?,"You will still have access to the following features: Feed, Instagram account linking, advertising, monetization, followers, insights, tools (such as Inbox, Stories, Groups, events), blue badge, and Page management by multiple people. See more available features.Scheduling posts is not available yet on new Pages, but can be accessed through other tools. You can schedule posts to your new Page from Meta Business Suite and Creator Studio."
Who can manage my business presence with new Pages?,"You can give Facebook access to people you trust to manage your new Page. This is similar to sharing admin access on classic Pages. Learn how to give Facebook access of your new Page.You can also give task access to people to manage your new Page with tools such as Ads Manager, Meta Business Suite and Creator Studio. This is similar to assigning Page roles on classic Pages, such as editor, moderator, advertiser and analyst. Learn how to give task access to your new Page."
How can I open my new Page?,"To open your new Page on desktop: From your home page, click on your profile picture in the top right. Select Switch Profile and select the new Page.To open your new Page on mobile: From the Facebook app, tap on your profile picture in the bottom right. Tap on the new Page.To switch back to your profile on desktop: From your new Page's Feed, click , select Switch Profile and select your profile.To switch back to your profile on mobile: From your new Page's Feed, tap, tap ... and select your profile.Note: You will not be able to access your classic Pages from new Pages. Switch back to your profile to see your classic Pages."
Switch Profile,"All of your previous posts will be preserved on your Page, and insights will still be available for them."
What will happen to posts I made on my classic Page?,"Some of your Stories may not migrate.Information on your classic Page, such as contact info, may not transition. Your bio may need to be shortened. You can edit this information by going into your About section and editing the relevant fields.Your messages, ads and other features from classic Pages will migrate, but may be in different places."
Is there any content that won't migrate with my Page?,"When you switched back to the classic Pages experience, content you posted from the new Pages experience was no longer visible. When you update to the new Pages experience again, content you created from classic Page will be preserved on your new Page, and content you had shared from your new Pages experience will be visible again.Note: If you posted content again that was unavailable when you switched back to classic Pages, this content will appear twice when you return to the new Pages experience.When you switched back to classic Pages, ads you created from the new Pages experience stopped running and saved in your Ads Manager account. Their data and insights will still be available, but you will not be able to edit or restart them until you return to the new Pages experiences. "
What happened to my ads and content when I switched back to classic Pages?,"Note: If you posted content again that was unavailable when you switched back to classic Pages, this content will appear twice when you return to the new Pages experience."
How will people find my new Page?,"Similar to classic Pages, if someone searches the name of your new Page in the search bar, they will be able to find you. Your new Page may also appear in the Pages to Follow section."
What is a Feed? How can I set up my Feed?,"Your new Page comes with a Feed that is separate from your personal profile’s Feed and is dedicated to your Page presence. Anyone with Facebook access of the new Page can access and view this Feed. If you have Facebook access, you can follow public figures, brands, partners and other Pages to curate the content that appears in the Feed."
"When I had a classic Page, I followed other Pages. What happens to those connections on my new Page?",These connections will migrate to your new Page and you can see their updates in your Feed.
Can others see the classic and new Pages that my new Page follows?,The classic and new Pages your new Page follows are public by default.You can change this in your new Page’s Settings.
